device_id,boat_type
18054,supply boat
18056,supply boat
18057,supply boat
18058,speed boat
18060,speed boat
18063,supply boat
18066,supply boat
18067,fishing boat
18068,supply boat
18079,speed boat
18081,speed boat
18084,passenger ferry
18085,supply boat
18088,fishing boat
18089,speed boat
18090,supply boat
18093,speed boat
18094,supply boat
18101,dinghy
18102,supply boat
18103,speed boat
18110,passenger ferry
18112,speed boat
18119,speed boat
18121,dinghy
18123,speed boat
18127,speed boat
18128,supply boat
18135,speed boat
18139,supply boat
18140,landing craft
18146,speed boat
18151,passenger ferry
18152,speed boat
18153,speed boat
18154,speed boat
18155,speed boat
18156,speed boat
18157,fishing boat
18158,speed boat
18164,speed boat
18168,dinghy
18169,speed boat
18176,passenger ferry
18188,supply boat
18189,speed boat
18190,speed boat
18195,speed boat
18197,speed boat
18200,speed boat
18204,supply boat
18221,supply boat
18224,speed boat
18226,speed boat
18227,speed boat
18229,passenger ferry
18232,speed boat
18234,speed boat
18235,speed boat
18239,excursion boat
18241,speed boat
18242,supply boat
18248,fishing boat
18251,supply boat
18253,speed boat
18261,speed boat
18262,speed boat
18263,speed boat
18264,speed boat
18265,speed boat
18268,speed boat
18269,dinghy
18271,speed boat
18272,supply boat
18273,fishing boat
18274,speed boat
18275,speed boat
18278,Car
18280,supply boat
18283,speed boat
18286,safari
18289,supply boat
18290,speed boat
18296,speed boat
18306,speed boat
18307,excursion boat
18309,safari
18311,supply boat
18313,speed boat
18315,speed boat
18316,supply boat
18321,speed boat
18323,speed boat
18324,speed boat
18325,speed boat
18333,speed boat
18334,speed boat
18339,speed boat
18343,passenger ferry
18344,speed boat
18348,speed boat
18349,speed boat
18360,safari
18364,speed boat
18365,speed boat
18366,safari
18373,supply boat
18375,supply boat
18383,landing craft
18388,speed boat
18394,fishing boat
18397,landing craft
18402,speed boat
18403,speed boat
18405,speed boat
18409,supply boat
18416,passenger ferry
18417,speed boat
18418,speed boat
18421,speed boat
18426,passenger ferry
18429,safari
18436,speed boat
18437,supply boat
18450,supply boat
18453,speed boat
18456,supply boat
18457,passenger ferry
18458,speed boat
18460,speed boat
18461,speed boat
18462,speed boat
18463,dinghy
18464,passenger ferry
18467,speed boat
18468,passenger ferry
18472,fishing boat
18473,supply boat
18477,speed boat
18481,passenger ferry
18482,passenger ferry
18485,supply boat
18487,speed boat
18498,excursion boat
18500,speed boat
18503,supply boat
18506,speed boat
18508,speed boat
18517,supply boat
18531,fishing boat
18541,supply boat
18542,supply boat
18543,dinghy
18544,speed boat
18547,speed boat
18554,speed boat
18555,speed boat
18556,speed boat
18558,speed boat
18559,speed boat
18560,speed boat
18562,excursion boat
18564,supply boat
18566,speed boat
18567,supply boat
18570,speed boat
18573,speed boat
18574,speed boat
18575,speed boat
18576,speed boat
18577,speed boat
18578,speed boat
18579,speed boat
18580,speed boat
18584,speed boat
18588,supply boat
18590,landing craft
18591,speed boat
18596,supply boat
18597,supply boat
18602,speed boat
18604,safari
18607,dinghy
18608,supply boat
18613,speed boat
18618,speed boat
18619,speed boat
18623,supply boat
18624,fishing boat
18627,speed boat
18628,safari
18629,supply boat
18630,speed boat
18631,supply boat
18632,speed boat
18638,speed boat
18644,supply boat
18645,speed boat
